Title,Author,Book_Ref,Class_Code,Imprint,Publisher_Group,Rank,Volume,RRP,ASP,Binding,Pub_Date
Fair Game,Leather; Stephen,11007,CE003F,Sinclair Paperback,Sinclair Books,1421,13454,6.99,3.95,Paperback,24/11/2011
Fair Game v 2,Leather; Stephen,11315,CE003F,Sinclair & White Ltd,Sinclair Books,2232,10142,12.99,8.94,Paperback,21/07/2011
Fairytale Hairdresser; The,Longstaff; Abie,11195,PS008F,Photo Megan,Transformation Group,1906,11278,5.99,5.5,Paperback,04/01/2011
Fairytale of New York,Dickinson; Miranda,11657,GL002F,Shire,Collin Turner Group,3045,8103,6.99,2.32,Paperback,12/11/2009
Faithful Place,French; Tana,11487,CE003F,Sinclair Paperback,Sinclair Books,2655,9010,6.99,4.78,Paperback,07/07/2011
Faithless; The,Cole; Martina,10056,CE003F,Deadline Book Publishing,Deadline Group,1088,16029,19.99,9.46,Hardback,18/10/2011
Fall of Damnos; The Space Marine Battles,Kyme; Nick,12041,SN010F,Read Duck Library,Read Duck Library Group,3992,6549,8.99,8.11,Paperback,14/04/2011
Fall of Giants,Follett; Ken,10082,GL002F,Panda Books,Panda Millen Group,372,24536,8.99,5.58,Paperback,03/06/2011
Fall of Giants,Follett; Ken,11552,GL002F,Millen,Panda Millen Group,2815,8619,20,11.33,Hardback,28/09/2010
Fall; The CHERUB,Muchamore; Robert,10888,CN001F,Sinclair Childrens Books,Sinclair Books,1152,15606,6.99,5.44,Paperback,15/03/2007
Fallen,Slaughter; Karin,10392,CE003F,Decade,Fletchers Green Group,602,21264,18.99,9.93,Hardback,07/07/2010
Fallen,Kate; Lauren,10403,YT014F,Knine Childrens,Transformation Group,1029,16562,6.99,5.23,Paperback,01/07/2010
Fallen,Slaughter; Karin,11830,CE003F,Decade,Fletchers Green Group,3474,7344,12.99,10.08,Paperback,07/07/2011
Fame,Bagshawe; Tilly,10357,GL002F,Brooklyn,Collin Turner Group,513,22432,7.99,5.06,Paperback,26/05/2011
Family Album,Lively; Penelope,11947,GL002F,Emu Books,Emu Group,3771,6845,7.99,6.6,Paperback,27/05/2010
Family Ties,Steel; Danielle,10104,GL002F,Knine Books,Transformation Group,470,22921,7.99,4.63,Paperback,07/07/2011
Family; The,Cole; Martina,10011,CE003F,Deadline Book Publishing,Deadline Group,853,18284,7.99,4.62,Paperback,12/05/2011
Family; The,Cole; Martina,11926,CE003F,Deadline Book Publishing,Deadline Group,3717,6928,18.99,10.62,Hardback,14/10/2010
Famous Five Classic,Blyton; Enid,11541,CN001F,Sinclair Childrens Books,Sinclair Books,2785,8708,19.96,5,Paperback,06/10/2011
Fantastic Beasts and Where to Find Them,Rowling; J K,10573,CN001F,Boe Publishing PLC,Boe Bells Group,413,23863,4.99,3.83,Paperback,04/07/2009
Fantastic Mr Fox,Dahl; Roald,10505,CN001F,Peacote Books,Emu Group,233,26661,4.99,4.17,Paperback,06/09/2007
Farm 123,Campbell; Rod,12098,PS008F,Millen Childrens Books,Panda Millen Group,4145,6330,5.99,4.4,Hardback,03/09/2010
Farm Boy,Morpurgo; Michael,11226,CN001F,Collin,Collin Turner Group,1989,10976,4.99,4.11,Hardback,07/06/1999
Farm Boy,Morpurgo; Michael,11730,CN001F,Hyperturner Childrens Books,Collin Turner Group,3237,7770,5.99,4.65,Paperback,29/09/2011
Farscape Dark Side of the Sun No 2 Farscape,Mortimore; Jim,11796,SN010F,Plaintree,Panda Millen Group,3381,7454,5.99,8.57,Paperback,24/11/2000
Father Christmas Needs a Wee,Allan; Nicholas,11062,EG004F,Black Squirrel,Fletchers Green Group,1554,12887,5.99,3.86,Hardback,05/11/2009
Father Christmas Needs a Wee,Allan; Nicholas,11644,EG004F,Black Squirrel,Fletchers Green Group,3018,8180,6.99,5.55,Paperback,30/09/2010
Fatherland,Harris; Robert,11041,CE003F,Quiver Books,Fletchers Green Group,1500,13105,7.99,6.51,Paperback,01/10/2009
Fear Index; The,Harris; Robert,10299,CE003F,Starsky,Fletchers Green Group,1221,15036,18.99,12.3,Hardback,06/04/2009
Fear Index; The,Harris; Robert,12211,CE003F,Starsky,Fletchers Green Group,4409,6008,12.99,10.94,Paperback,29/09/2011
Fear the Worst,Barclay; Linwood,10934,CE003F,Constellation,Shallot Group,1243,14880,7.99,6.1,Paperback,08/07/2010
Fear; The The Enemy,Higson; Charlie,10659,YT014F,Peacote Books,Emu Group,634,21015,12.99,8.37,Hardback,15/09/2011
Feast for Crows; Song of Ice and Fire,Martin; George R R,10163,SN010F,Enterprise,Collin Turner Group,724,20032,8.99,5.65,Hardback,14/01/2006
Feast for Crows; Song of Ice and Fire,Martin; George R R,10373,SN010F,HyperVoyager,Collin Turner Group,698,20231,8.99,6.07,Paperback,01/09/2011
Feast of Fools The Morganville Vampires,Caine; Rachel,12099,YT014F,Bird & Bushby,Bird & Bushby Group,4146,6329,6.99,5.46,Paperback,23/02/2009
Ferno the Fire Dragon Beast Quest,Blade; Adam,10510,CN001F,Mistletow Books,Sinclair Books,248,26506,4.99,4.1,Paperback,05/07/2007
Fever of the Bone; The,McDermid; Val,11504,CE003F,Ellipses,Large Red Book Company,2702,8899,7.99,5.24,Paperback,18/02/2010
Field Grey A Bernie Gunther Novel,Kerr; Philip,10612,CE003F,Oak Publishing Plc,Oak Group,515,22422,7.99,5.78,Paperback,31/03/2011
Fields of Death; The,Scarrow; Simon,10957,CE003F,Deadline Review,Deadline Group,1287,14515,7.99,5.86,Paperback,11/11/2010
Fifth Witness; The,Connelly; Michael,10109,CE003F,Constellation,Shallot Group,43,31430,7.99,4.26,Paperback,10/11/2011
Fifth Witness; The,Connelly; Michael,10533,CE003F,Constellation,Shallot Group,308,25638,18.99,10.81,Hardback,14/04/2011
Fifth Woman; The,Mankell; Henning,11823,CE003F,Antique,Fletchers Green Group,3460,7355,7.99,6.07,Paperback,22/01/2009
Fight Club,Palahniuk; Chuck,11910,GL002F,Antique,Fletchers Green Group,3669,6985,7.99,6.54,Paperback,03/01/1998
Fight for Freedom Gladiator,Scarrow; Simon,10913,CN001F,Peacote Books,Emu Group,1201,15252,12.99,9.17,Hardback,03/02/2011
Final Empire; The Mistborn,Sanderson; Brandon,10908,SN010F,Gollileth,Shallot Group,1190,15304,8.99,6.72,Paperback,01/10/2009
Fine Balance; A,Mistry; Rohinton,10802,GL002F,Sabre and Sabre,Sabre Group,951,17449,8.99,6.89,Paperback,16/12/2006
Fingersmith,Waters; Sarah,11213,GL002F,Virgo Press Ltd,Large Red Book Company,1946,11138,8.99,6.7,Paperback,03/02/2003
Finkler Question; The,Jacobson; Howard,10059,GL002F,Boe Publishing PLC,Boe Bells Group,220,26836,7.99,5.72,Paperback,03/05/2011
Finkler Question; The,Jacobson; Howard,12255,GL002F,Boe Publishing PLC,Boe Bells Group,4534,5891,18.99,12.16,Hardback,02/08/2010
Fire and Fury The Chronicles of Avantia,Blade; Adam,12365,CN001F,Mistletow Books,Sinclair Books,4780,5640,5.99,5.04,Paperback,07/07/2011
Fire and Sword,Scarrow; Simon,12297,CE003F,Deadline Review,Deadline Group,4616,5798,7.99,6.1,Paperback,11/06/2009
First Frost,Henry; James,10463,CE003F,Knine Books,Transformation Group,143,28658,6.99,4,Paperback,27/10/2011
First Heretic; The Horus Heresy,Dembski-Bowden; Aaron,12305,SN010F,Read Duck Library,Read Duck Library Group,4633,5778,7.99,6.79,Paperback,01/11/2010
First Hero The Chronicles of Avantia,Blade; Adam,12295,CN001F,Mistletow Books,Sinclair Books,4610,5799,5.99,4.97,Paperback,01/07/2010
First Ladies; The,Burley; Kay,11326,GL002F,Brooklyn,Collin Turner Group,2258,10039,7.99,4.92,Paperback,12/05/2011
First Rule; The,Crais; Robert,10594,CE003F,Constellation,Shallot Group,473,22849,6.99,4.84,Paperback,03/03/2011
First Term at Malory Towers Malory Towers,Blyton; Enid,10902,CN001F,Ravenglass Books,Egburt Books Group,1180,15421,4.99,4.36,Paperback,03/04/2006
First Wife; The,Barr; Emily,11811,GL002F,Deadline Review,Deadline Group,3418,7410,7.99,6.44,Paperback,15/09/2011
First Words,Prideaux; Roger,12136,EG004F,Prideaux Books,Panda Millen Group,4247,6212,3.99,2.9,Hardback,05/08/2008
Five Go Adventuring Again,Blyton; Enid,11780,CN001F,Sinclair & White Ltd,Sinclair Books,3345,7508,4.99,4.22,Paperback,19/03/1997
Five Go Off in a Caravan,Blyton; Enid,12147,CN001F,Sinclair & White Ltd,Sinclair Books,4283,6192,4.99,4.1,Paperback,19/03/1997
Five Go to Smuggler's Top,Blyton; Enid,12293,CN001F,Sinclair & White Ltd,Sinclair Books,4607,5802,4.99,4.23,Paperback,19/03/1997
Five Greatest Warriors; The,Reilly; Matthew,11180,CE003F,Constellation,Shallot Group,1860,11413,6.99,5.44,Paperback,25/11/2010
Five Minutes' Peace,Murphy; Jill,11775,PS008F,Seabrook Books Ltd,Seabrook Group,3334,7539,5.99,5.03,Paperback,05/06/2006
Five on a Treasure Island,Blyton; Enid,10901,CN001F,Sinclair & White Ltd,Sinclair Books,1176,15446,4.99,4.38,Paperback,19/03/1997
Five People You Meet in Heaven; The,Albom; Mitch,10797,GL002F,Warren Paperbacks,Large Red Book Company,940,17523,7.99,6.35,Paperback,02/09/2004
Five Ways to Kill a Man,Gray; Alex,11292,CE003F,Ellipses,Large Red Book Company,2164,10353,6.99,4.92,Paperback,09/12/2010
Flash and Bones,Reichs; Kathy,10495,CE003F,William Pils,Fletchers Green Group,204,27271,18.99,10.36,Hardback,01/09/2011
Flat Stanley,Brown; Jeff,10993,CN001F,Ravenglass Books,Egburt Books Group,1386,13666,4.99,3.77,Paperback,03/07/2003
Flesh House,MacBride; Stuart,12243,CE003F,Brooklyn,Collin Turner Group,4495,5912,7.99,5.75,Paperback,05/01/2009
Flight of Eagles,Higgins; Jack,11617,WR012F,Brooklyn,Collin Turner Group,2962,8313,7.99,4.1,Paperback,10/11/2011
Flora's Defiance Jacquard & Babbage Modern,Graham; Lynne,11887,RE009F,Jacquard & Babbage,Harley Quin (UK) Ltd Group,3608,7106,3.3,3.16,Paperback,21/01/2011
Florence the Friendship Fairy Rainbow Magic,Meadows; Daisy,10599,CN001F,Mistletow Books,Sinclair Books,484,22763,5.99,4.26,Paperback,06/01/2011
Fly Away Home,Weiner; Jennifer,10637,GL002F,Gary & Balding Ltd,Gary & Balding Group,577,21669,6.99,4.5,Paperback,23/06/2011
Folk of the Faraway Tree; The,Blyton; Enid,11183,CN001F,Ravenglass Books,Egburt Books Group,1867,11382,5.99,4.67,Paperback,03/05/2007
Follow Me,O'Flanagan; Sheila,11525,GL002F,Deadline Review,Deadline Group,2753,8787,1.99,1.82,Paperback,18/02/2011
For Whom the Bell Tolls,Hemingway; Ernest,11897,WR012F,Quiver Books,Fletchers Green Group,3635,7064,6.99,5.71,Paperback,18/08/1994
Ford County,Grisham; John,12302,GL002F,Quiver Books,Fletchers Green Group,4628,5786,7.99,5.9,Paperback,13/03/2010
Forever,Stiefvater; Maggie,10359,YT014F,Solar,Solar Group Ltd,86,30134,7.99,5.76,Paperback,13/07/2011
Forever Yours,Bradshaw; Rita,10621,RE009F,Deadline Book Publishing,Deadline Group,542,22062,5.99,4.38,Paperback,07/07/2011
Forgive and Forget,Dickinson; Margaret,10429,GL002F,Panda Books,Panda Millen Group,63,31073,6.99,4.84,Paperback,04/03/2011
Forgotten,Lewis; Susan,10171,YT014F,Quiver Books,Fletchers Green Group,1845,11490,6.99,4.42,Hardback,17/03/2010
Forgotten,Patrick; Cat,11032,YT014F,Ravenglass Books,Egburt Books Group,1486,13172,6.99,5.78,Paperback,06/06/2011
Forgotten Garden; The,Morton; Kate,10691,GL002F,Panda Books,Panda Millen Group,710,20173,7.99,6.29,Paperback,06/06/2008
Fort; The,Cornwell; Bernard,10078,WR012F,Brooklyn,Collin Turner Group,1446,13373,7.99,5,Paperback,26/05/2011
Fountainhead; The,Rand; Ayn,12127,GL002F,Emu Classics,Emu Group,4223,6233,9.99,7.88,Paperback,01/02/2007
Fox in Socks Green Back Book,Dr Seuss,11772,PS008F,Collin,Collin Turner Group,3329,7585,4.99,4,Paperback,06/05/2003
Fractured,Slaughter; Karin,11193,CE003F,Quiver Books,Fletchers Green Group,1900,11292,7.99,5.37,Paperback,26/03/2009
Fragile Minds,Seeber; Claire,11853,CE003F,Shire,Collin Turner Group,3521,7230,6.99,3.28,Paperback,14/04/2011
Frankenstein 4 Lost Souls,Koontz; Dean,10815,GL002F,Brooklyn,Collin Turner Group,973,17219,6.99,4.72,Paperback,06/01/2011
Frankenstein Or; the Modern Prometheus,Shelley; Mary Wollstonecraft,11200,GL002F,Emu Books,Emu Group,1915,11234,6.99,5.93,Paperback,30/01/2003
Frankenstein Or; the Modern Prometheus Cloud Classics,Shelley; Mary Wollstonecraft,11318,HR006F,Cloud Editions,Cloud Group,2238,10115,1.99,2.01,Paperback,05/05/1992
Fred and Rose,Sounes; Howard,12016,TE018N,Ellipses,Large Red Book Company,3934,6645,7.99,6.31,Paperback,07/12/1995
Freddie and the Fairy,Donaldson; Julia,10748,PS008F,Millen Childrens Books,Panda Millen Group,834,18590,5.99,5.11,Paperback,28/08/2010
Freedom,Franzen; Jonathan,10287,GL002F,Fourth Bridge,Collin Turner Group,980,17182,8.99,6.21,Paperback,01/09/2011
Freedom,Franzen; Jonathan,11544,GL002F,Fourth Bridge,Collin Turner Group,2797,8677,20,11.34,Hardback,23/09/2010
Friend of the Devil,Robinson; Peter,11842,CE003F,Sinclair & White Ltd,Sinclair Books,3495,7271,7.99,4.2,Paperback,29/09/2011
Friend or Foe,Morpurgo; Michael,10842,CN001F,Ravenglass Books,Egburt Books Group,1044,16356,4.99,4.06,Paperback,06/08/2007
Friends; Lies and Alibis,Holt; Debby,11509,GL002F,Gary & Balding Ltd,Gary & Balding Group,2712,8857,6.99,4.66,Paperback,20/01/2011
Friendship's Bond,Hutchinson; Meg,11517,RE009F,Sinclair Paperback,Sinclair Books,2728,8823,6.99,4.54,Paperback,31/03/2011
From Dead to Worse A True Blood Novel,Harris; Charlaine,11625,SN010F,Gollileth,Shallot Group,2973,8267,7.99,5.69,Paperback,09/07/2009
From Notting Hill with Love Actually,McNamara; Ali,10816,GL002F,Ellipses,Large Red Book Company,976,17208,7.99,4.9,Paperback,19/11/2010
From the Dead,Billingham; Mark,10060,CE003F,Ellipses,Large Red Book Company,175,28016,7.99,4.74,Paperback,11/03/2011
Full Dark; No Stars,King; Stephen,10154,CE003F,Sinclair Paperback,Sinclair Books,437,23371,7.99,4.84,Paperback,07/07/2011
Full Dark; No Stars,King; Stephen,12187,CE003F,Sinclair & White Ltd,Sinclair Books,4346,6107,18.99,10.55,Hardback,09/11/2010
Funniest Storybook Ever,Scarry; Richard,12178,PS008F,Hyperturner Childrens Books,Collin Turner Group,4329,6137,6.99,6.36,Paperback,31/03/2011
Funnybones a Bone Rattling Collection,Ahlberg; Allan,11698,PS008F,Peacote Books,Emu Group,3150,7920,7.99,7.4,Paperback,07/10/2010
Funnybones Funnybones,Ahlberg; Allan & Ahlberg; Janet,11645,PS008F,Peacote Books,Emu Group,3023,8175,6.99,5.49,Paperback,17/07/1999
Fury; The AND The Reunion Bks 3 & 4 Vampire Diaries,Smith; L J,10578,YT014F,Sinclair Childrens Books,Sinclair Books,426,23589,6.99,4.86,Paperback,03/09/2009
Gallery Girl,Holden; Wendy,10522,GL002F,Deadline Review,Deadline Group,269,26240,6.99,4.91,Paperback,31/07/2010
Gallows Bird; The,Lackberg; Camilla,12049,CE003F,Hyperturner Publishers,Collin Turner Group,4014,6523,12.99,10.17,Paperback,03/03/2011
Gamble,Francis; Felix,10740,CE003F,Frank Jepson,Emu Group,818,18814,18.99,11.37,Hardback,01/09/2011
Game of Thrones The Story Continues,Martin; George R R,10696,SN010F,HyperVoyager,Collin Turner Group,729,19907,39.99,24.93,Paperback,12/07/2011
Game of Thrones; Song of Ice and Fire,Martin; George R R,10010,SN010F,HyperVoyager,Collin Turner Group,492,22604,8.99,5.66,Hardback,31/03/2010
Game of Thrones; Song of Ice and Fire,Martin; George R R,10585,SN010F,HyperVoyager,Collin Turner Group,452,23211,8.99,5.73,Paperback,01/09/2011
Gang Land From Footsoldiers to Kingpins,Thompson; Tony,11171,TE018N,Sinclair & White Ltd,Sinclair Books,1844,11554,7.99,6.83,Paperback,28/04/2011
Gangsta Granny,Walliams; David,10075,CN001F,Hyperturner Childrens Books,Collin Turner Group,287,25851,12.99,6.78,Hardback,27/10/2011
Garden Party; The,Challis; Sarah,12313,GL002F,Deadline Review,Deadline Group,4660,5750,7.99,6.08,Paperback,12/05/2011
Gatecrasher; The,Wickham; Madeleine,10194,GL002F,Read Duck,Transformation Group,311,25623,6.99,4.7,Paperback,03/03/2011
Gathering Storm; A,Hore; Rachel,10157,GL002F,Gary & Balding Ltd,Gary & Balding Group,776,19200,7.99,4.79,Paperback,15/09/2011
Gathering Storm; The Wheel of Time,Jordan; Robert & Sanderson; Brandon,11629,SN010F,Spinning,Large Red Book Company,2986,8248,8.99,7.21,Paperback,07/10/2010
Gathering; The Darkness Rising,Armstrong; Kelley,11601,YT014F,Proton,Large Red Book Company,2933,8389,7.99,5.85,Paperback,07/04/2011
General; The CHERUB,Muchamore; Robert,10955,CN001F,Sinclair Childrens Books,Sinclair Books,1283,14566,6.99,5.49,Paperback,28/06/2008
Generals; The Wellington and Napoleon Quartet,Scarrow; Simon,12259,CE003F,Deadline Review,Deadline Group,4544,5877,7.99,6.28,Paperback,24/01/2008
Genesis,Slaughter; Karin,10905,GL002F,Quiver Books,Fletchers Green Group,1184,15375,7.99,5.35,Paperback,15/04/2010
George's Dragon,Freedman; Claire,10944,PS008F,Solar,Solar Group Ltd,1264,14722,6.99,4.61,Paperback,04/04/2011
George's Marvellous Medicine,Dahl; Roald,10253,CN001F,Peacote Books,Emu Group,1566,12779,5.99,4.55,Paperback,06/09/2007
Getting Away with it,Cohen; Julie,11631,GL002F,Deadline Review,Deadline Group,2988,8244,6.99,5.25,Paperback,17/03/2011
Ghost Light,O'Connor; Joseph,11859,GL002F,Antique,Fletchers Green Group,3541,7198,7.99,6.55,Paperback,03/03/2011
Ghost Story A Dresden Files Novel Dresden Case Files,Butcher; Jim,11595,SN010F,Spinning,Large Red Book Company,2917,8409,14.99,8.45,Hardback,28/07/2011
Ghost Town The Morganville Vampires,Caine; Rachel,11217,YT014F,Bird & Bushby,Bird & Bushby Group,1958,11057,6.99,5.35,Paperback,01/11/2010
Giant Jam Sandwich; The,Lord; John Vernon & Burroway; Janet,12180,PS008F,Black Squirrel,Fletchers Green Group,4336,6134,5.99,5.14,Paperback,25/11/2010
Gift for My Sister; A,Pearlman; Ann,11397,GL002F,Gary & Balding Ltd,Gary & Balding Group,2450,9541,6.99,3.9,Paperback,10/11/2011
Giraffe and the Pelly and Me; The,Dahl; Roald,11237,CN001F,Peacote Books,Emu Group,2028,10847,4.99,4.32,Paperback,04/09/2008
Giraffes Can't Dance,Andreae; Giles,10452,PS008F,Mistletow Books,Sinclair Books,117,29296,5.99,4,Paperback,01/06/2000
Giraffes Can't Dance,Andreae; Giles,11414,PS008F,Mistletow Books,Sinclair Books,2489,9440,7.99,5.9,Paperback,07/01/2010
Girl 4,Carver; Will,10664,GL002F,Quiver Books,Fletchers Green Group,643,20834,6.99,4.31,Paperback,12/05/2011
Girl He Never Noticed; The Jacquard & Babbage Modern,Armstrong; Lindsay,12134,RE009F,Jacquard & Babbage,Harley Quin (UK) Ltd Group,4241,6221,3.3,3,Paperback,03/06/2011
Girl in the Mirror; The Two Stories AND The Memory Maker,Ahern; Cecelia,10741,GL002F,Hyperturner Publishers,Collin Turner Group,820,18760,7.99,4.94,Hardback,03/03/2011
Girl in Translation,Kwok; Jean,12175,GL002F,Emu Books,Emu Group,4326,6138,8.99,7.09,Paperback,02/06/2011
Girl Like You; A,Burgess; Gemma,10896,GL002F,Shire,Collin Turner Group,1167,15512,6.99,4.59,Paperback,06/01/2011
Girl Missing,Gerritsen; Tess,11137,CE003F,Poultry Books,Transformation Group,1752,12010,6.99,5.01,Paperback,03/12/2009
Girl on the Cliff; The,Riley; Lucinda,10568,GL002F,Emu Books,Emu Group,403,24178,7.99,4.26,Paperback,27/10/2011
Girl on the Run,Costello; Jane,10137,GL002F,Gary & Balding Ltd,Gary & Balding Group,931,17576,6.99,4.66,Paperback,14/04/2011
Girl Who Kicked the Hornets' Nest; The Millennium Trilogy,Larsson; Stieg,10007,CE003F,Oak Publishing Plc,Oak Group,1793,11884,7.99,4.58,Paperback,23/01/2010
Girl Who Played with Fire; The Millennium Trilogy,Larsson; Stieg,10008,CE003F,Oak Publishing Plc,Oak Group,1924,11218,7.99,4.55,Paperback,09/07/2009
Girl with the Dragon Tattoo; The Millennium Trilogy,Larsson; Stieg,10005,CE003F,Oak,Oak Group,1107,15975,7.99,4.7,Paperback,24/07/2008
Girl; Missing,McKenzie; Sophie,11464,YT014F,Gary & Balding Childrens Books,Gary & Balding Group,2602,9120,6.99,6,Paperback,02/10/2006
Gladiator; The,Scarrow; Simon,11346,CE003F,Deadline Publishing Group,Deadline Group,2320,9870,7.99,6.22,Paperback,05/12/2009
Glass Houses The Morganville Vampires,Caine; Rachel,11908,YT014F,Bird & Bushby,Bird & Bushby Group,3667,6986,6.99,5.76,Paperback,26/05/2008
Glass Room; The,Mawer; Simon,11319,GL002F,Abacube,Large Red Book Company,2240,10103,8.99,6.87,Paperback,22/04/2010
God of Small Things; The,Roy; Arundhati,11051,GL002F,Egret,Collin Turner Group,1524,12986,7.99,6.26,Paperback,05/05/1998
Goddess of Vengeance,Collins; Jackie,10233,GL002F,Gary & Balding Ltd,Gary & Balding Group,2497,9431,14.99,6.91,Hardback,14/04/2010
Goddess of Vengeance,Collins; Jackie,10881,GL002F,Gary & Balding Ltd,Gary & Balding Group,1138,15692,12.99,10.84,Paperback,21/03/2011
Godfather; The,Puzo; Mario,11748,GL002F,Quiver Books,Fletchers Green Group,3277,7686,7.99,6.83,Paperback,02/07/2009
Gods of Atlantis; The,Gibbins; David,10622,GL002F,Deadline Book Publishing,Deadline Group,544,22048,6.99,4.08,Paperback,27/10/2011
Golden City; The Fourth Realm Trilogy,Twelve Hawks; John,12094,GL002F,Knine Books,Transformation Group,4136,6334,7.99,6.25,Paperback,03/02/2011
Golden Notebook,Lessing; Doris May,12367,GL002F,HyperVoyager,Collin Turner Group,4788,5635,9.99,7.91,Paperback,18/06/2007
Gone,Hayder; Mo,10378,CN001F,Poultry Books,Transformation Group,1964,11034,6.99,4.87,Paperback,25/11/2010
Gone,Grant; Michael,10426,CN001F,Ravenglass Books,Egburt Books Group,55,31200,6.99,5.76,Hardback,03/09/2009
Gone Tomorrow Jack Reacher,Child; Lee,10424,CE003F,Poultry Books,Transformation Group,53,31299,7.99,5.43,Paperback,18/02/2010
Good as Dead Tom Thorne Novels,Billingham; Mark,10762,CE003F,Ellipses,Large Red Book Company,859,18171,16.99,9.75,Hardback,18/08/2011
Good In Bed,Weiner; Jennifer,11822,GL002F,Gary & Balding Ltd,Gary & Balding Group,3457,7358,7.99,4.56,Paperback,17/03/2011
Good Little Wolf,Shireen; Nadia,11207,PS008F,Jonathan Creek,Fletchers Green Group,1931,11165,5.99,5.33,Paperback,02/06/2011
Good Man Jesus and the Scoundrel Christ; The,Pullman; Philip,10526,GL002F,Bishops Books,Bishops Group,286,25923,7.99,6.31,Paperback,02/06/2011
Good Man Jesus and the Scoundrel Christ; The Myths,Pullman; Philip,11370,GL002F,Bishops Books,Bishops Group,2382,9705,10.99,8.52,Paperback,07/10/2010
Good Omens,Pratchett; Terry & Gaiman; Neil,12090,SN010F,Knine Books,Transformation Group,4118,6353,7.99,6.87,Paperback,23/05/1991
Goodbye to Berlin,Isherwood; Christopher,12272,GL002F,Antique,Fletchers Green Group,4569,5853,7.99,6.54,Paperback,02/11/1989
Goodnight Lady,Cole; Martina,12371,GL002F,Deadline Book Publishing,Deadline Group,4413,6001,7.99,6.67,Paperback,29/04/2010
Goodnight Mister Tom,Magorian; Michelle,10968,CN001F,Peacote Books,Emu Group,1312,14245,7.99,6.15,Paperback,31/03/1983
Goodnight Moon,Brown; Margaret Wise,12005,PS008F,Millen Childrens Books,Panda Millen Group,3910,6684,4.99,3.96,Hardback,19/02/2010
Gormenghast Trilogy; The,Peake; Mervyn,12326,SN010F,Antique Classics,Fletchers Green Group,4696,5722,16,12.44,Paperback,01/05/1999
Grace Williams Says it Loud,Henderson; Emma,10656,GL002F,Spectar,Sinclair Books,625,21044,7.99,5.76,Paperback,06/11/2010
Grapes of Wrath; The,Steinbeck; John,11239,GL002F,Emu Books,Emu Group,2036,10830,9.99,8.03,Paperback,07/09/2000
Grave Secret,Harris; Charlaine,12035,SN010F,Gollileth,Shallot Group,3973,6565,6.99,5.05,Paperback,04/11/2010
Graveyard Book; The,Gaiman; Neil,11675,YT014F,Boe Publishing PLC,Boe Bells Group,3098,8025,6.99,5.89,Paperback,05/10/2009
Great Cat Conspiracy; The,Davies; Katie,11975,CN001F,Gary & Balding Childrens Books,Gary & Balding Group,3837,6768,5.99,5.11,Paperback,03/03/2011
Great Expectations,Dickens; Charles,11270,GL002F,Emu Books,Emu Group,2111,10615,6.99,6.09,Paperback,30/11/2002
Great Expectations Cloud Classics,Dickens; Charles,11639,GL002F,Cloud Editions,Cloud Group,3012,8200,1.99,2.01,Paperback,05/05/1992
Great Gatsby; The,Fitzgerald; F Scott,10509,GL002F,Emu Books,Emu Group,243,26556,7.99,6.47,Paperback,24/02/2000
Great Gatsby; The Cloud Classics,Fitzgerald; F Scott,10767,GL002F,Cloud Editions,Cloud Group,871,18127,1.99,2.01,Paperback,05/05/1992
Great Hamster Massacre; The,Davies; Katie,11710,CN001F,Gary & Balding Childrens Books,Gary & Balding Group,3184,7887,5.99,5.37,Paperback,10/10/2009
Great House,Krauss; Nicole,10790,GL002F,Norseman,Emu Group,925,17623,8.99,7.16,Paperback,22/04/2011
Great Monster Hunt; The,Landa; Norbert,11234,PS008F,Large Tiger Press,Large Tiger P Group,2014,10895,5.99,4,Paperback,01/11/2010
Greedy Gulp of Horrid Henry,Simon; Francesca,11152,CN001F,Constellation Childrens Books,Shallot Group,1800,11874,9.99,7.92,Paperback,02/06/2011
Green Eggs and Ham Green Back Book,Dr Seuss,10982,PS008F,Collin,Collin Turner Group,1354,14021,4.99,4,Paperback,06/05/2003
Green Rider; The,Britain; Kristen,12164,SN010F,Gollileth,Shallot Group,4307,6160,8.99,7.13,Paperback,01/04/2011
Grey Wolves Henderson's Boys,Muchamore; Robert,10333,YT014F,Sinclair Childrens Books,Sinclair Books,1560,12846,6.99,5.68,Paperback,03/02/2011
Grievous Angel,Jardine; Quintin,11952,CE003F,Deadline Book Publishing,Deadline Group,3781,6834,12.99,10.41,Paperback,09/06/2011
Gropes; The,Sharpe; Tom,11894,GL002F,Quiver Books,Fletchers Green Group,3627,7075,7.99,7.12,Paperback,10/06/2010
Group; The,McCarthy; Mary,12162,GL002F,Virgo Press Ltd,Large Red Book Company,4305,6163,8.99,7.32,Paperback,03/12/2009
Gruffalo Jigsaw Book; The,Donaldson; Julia,11314,EG004F,Millen Childrens Books,Panda Millen Group,2230,10148,10.99,8.59,Hardback,05/03/2004
Gruffalo; The,Donaldson; Julia,10061,PS008F,Millen Childrens Books,Panda Millen Group,2153,10395,6.99,4.58,Paperback,21/08/1999
Gruffalo; The,Donaldson; Julia,10300,PS008F,Millen Childrens Books,Panda Millen Group,741,19650,5.99,4.38,Hardback,04/09/2009
Gruffalo; The,Donaldson; Julia,12262,PS008F,Millen Audio Books,Panda Millen Group,4545,5876,8.18,8.38,Hardback,05/05/2006
